date,max_temp,min_temp
2026-08-10,36.6,23.2
2026-08-11,37.3,24.9
2026-08-12,39.5,22.8
2026-08-13,39.7,23.6
2026-08-14,39.6,24.7
2026-08-15,39.4,24.3
2026-08-16,40.2,24.0
